epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.59,0.51631,1.79792,1.20922,1,0.57491,0.9106,0.79123,0.54085,2.74964,1.01919,0.0005,0.0005,0.0005
2,64.8626,0.46755,1.15386,1.14066,0.79585,0.90659,0.89705,0.68872,0.76001,2.04894,1.43383,0.00091902,0.00091902,0.00091902
3,97.4808,0.40294,0.95282,1.08338,0.8851,0.90698,0.91827,0.79104,0.68506,1.65515,1.45554,0.00123508,0.00123508,0.00123508
4,131.776,0.43737,0.87477,1.08704,0.56702,0.53488,0.51808,0.40144,1.08011,2.28105,1.53412,0.001406,0.001406,0.001406
5,165.856,0.42157,0.78386,1.09634,0.86843,0.76753,0.86406,0.64894,1.14872,1.34749,2.13836,0.001208,0.001208,0.001208
6,200.061,0.41961,0.72703,1.07418,0.90013,0.83845,0.91083,0.70689,0.93522,1.20251,1.50596,0.00101,0.00101,0.00101
7,234.141,0.41238,0.69409,1.08799,0.86175,0.86047,0.93424,0.62319,1.06532,1.61846,1.39475,0.000812,0.000812,0.000812
8,268.211,0.34022,0.56638,1.06348,0.96969,0.94186,0.97164,0.87985,0.61497,0.83594,1.01719,0.000614,0.000614,0.000614
9,302.438,0.29914,0.52894,1.01611,0.98698,0.98837,0.99374,0.90949,0.51453,0.88861,0.81801,0.000416,0.000416,0.000416
10,338.625,0.25245,0.46703,0.9793,1,0.99852,0.995,0.94286,0.42381,0.71515,0.75881,0.000218,0.000218,0.000218
